,Id,MSSubClass,Street,Utilities,Neighborhood,Condition1,Condition2,HouseStyle,OverallQual,OverallCond,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,Foundation,BsmtFinType1,BsmtFinType2,Heating,CentralAir,Electrical,LowQualFinSF,BedroomAbvGr,TotRmsAbvGrd,Functional,FireplaceQu,GarageType,GarageQual,GarageCond,3SsnPorch,PoolArea,MiscVal,MoSold,SaleType,SaleCondition,SalePrice,LotFrontage_missing,BsmtHalfBath_0,BsmtHalfBath_1,HalfBath_0,HalfBath_1,LandSlope_Gtl,LandSlope_Mod,PavedDrive_N,PavedDrive_P,LandContour_Bnk,LandContour_HLS,LandContour_Low,ExterQual_Ex,ExterQual_Fa,ExterQual_Gd,GarageFinish_Fin,GarageFinish_Na,GarageFinish_RFn,BsmtFullBath_0,BsmtFullBath_1,BsmtFullBath_2,Fireplaces_0,Fireplaces_1,Fireplaces_2,KitchenQual_Ex,KitchenQual_Fa,KitchenQual_Gd,KitchenAbvGr_0,KitchenAbvGr_1,KitchenAbvGr_2,LotShape_IR1,LotShape_IR2,LotShape_IR3,FullBath_0,FullBath_1,FullBath_2,ExterCond_Ex,ExterCond_Fa,ExterCond_Gd,ExterCond_Po,HeatingQC_Ex,HeatingQC_Fa,HeatingQC_Gd,HeatingQC_Po,MasVnrType_BrkCmn,MasVnrType_BrkFace,MasVnrType_Na,MasVnrType_None,BsmtQual_Ex,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_Na,BsmtExposure_Av,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_Na,BldgType_1Fam,BldgType_2fmCon,BldgType_Duplex,BldgType_Twnhs,GarageCars_0,GarageCars_1,GarageCars_2,GarageCars_3,LotConfig_Corner,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,MSZoning_C (all),MSZoning_FV,MSZoning_RH,MSZoning_RL,BsmtCond_Fa,BsmtCond_Gd,BsmtCond_Na,BsmtCond_Po,YearRemodAdd,ScreenPorch,GarageYrBlt,LotFrontage,EnclosedPorch,YearBuilt,BsmtFinSF2,OpenPorchSF,WoodDeckSF,MasVnrArea,2ndFlrSF,GarageArea,BsmtFinSF1,TotalBsmtSF,1stFlrSF,BsmtUnfSF,GrLivArea,LotArea
0,1,0.2047945205479452,0,0,0.10273972602739725,0.863013698630137,0.9897260273972602,0.3047945205479452,0.2184931506849315,0.5623287671232877,0.7815068493150685,0.9821917808219178,0.3527397260273973,0.3452054794520548,0.44315068493150683,0.2863013698630137,0.8602739726027397,0.9780821917808219,0,0.9136986301369863,0.9821917808219178,0.5506849315068493,0.12808219178082192,0.9315068493150684,0.4726027397260274,0.5958904109589042,0.897945205479452,0.9082191780821918,0.9835616438356164,0.9952054794520548,0.9643835616438357,0.03561643835616438,0.8678082191780822,0.8205479452054795,208500,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.7526529075503002,-0.29378482566857494,-1.0356130325771777,-0.15649991804464436,-0.40759468814363037,-1.099088136750991,-0.35938405655380323,0.8418197133260198,-0.9503365061005771,1.2180440725585315,1.1702390579843938,0.3838990466382944,0.7975366678031963,-0.40402913375017846,-0.7996241642789168,-0.8875761340355985,0.47229014499622546,-0.14117147809505817
1,2,0.36712328767123287,0,0,0.007534246575342466,0.05547945205479452,0.9897260273972602,0.49726027397260275,0.25616438356164384,0.049315068493150684,0.7815068493150685,0.9821917808219178,0.1506849315068493,0.14657534246575343,0.43424657534246575,0.1506849315068493,0.8602739726027397,0.9780821917808219,0,0.9136986301369863,0.9821917808219178,0.5506849315068493,0.27534246575342464,0.9315068493150684,0.21438356164383562,0.5958904109589042,0.897945205479452,0.9082191780821918,0.9835616438356164,0.9952054794520548,0.9643835616438357,0.13972602739726028,0.8678082191780822,0.8205479452054795,181500,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0.6456288242651829,-0.29378482566857494,0.3323627222921083,0.5366174143813058,-0.40759468814363037,0.11935131185328518,-0.35938405655380323,-1.0713069393887342,1.2137141836949283,-0.8274659089769937,-0.8714543139174613,-0.00460210105824145,1.011470983119935,0.5081765788320601,0.4291513926347134,-0.43438838391367046,-0.4230108468603376,0.10560851239176036
2,3,0.2047945205479452,0,0,0.10273972602739725,0.863013698630137,0.9897260273972602,0.3047945205479452,0.2184931506849315,0.5623287671232877,0.7815068493150685,0.9821917808219178,0.3527397260273973,0.3452054794520548,0.44315068493150683,0.2863013698630137,0.8602739726027397,0.9780821917808219,0,0.9136986301369863,0.9821917808219178,0.5506849315068493,0.27534246575342464,0.9315068493150684,0.21438356164383562,0.5958904109589042,0.897945205479452,0.9082191780821918,0.9835616438356164,0.9952054794520548,0.9643835616438357,0.04315068493150685,0.8678082191780822,0.8205479452054795,223500,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.6496016804797087,-0.29378482566857494,-0.8611955906204575,-0.011160075837175187,-0.40759468814363037,-0.9428978155910532,-0.35938405655380323,0.6684529636308231,-0.9503365061005771,1.1799480496429335,1.1728955926806428,0.6419895777914169,0.5713248067458515,-0.2537873868375012,-0.5685331096444594,-0.04808336222462749,0.6092423684652599,0.41372098856825795
3,4,0.0410958904109589,0,0,0.03493150684931507,0.863013698630137,0.9897260273972602,0.3047945205479452,0.2184931506849315,0.5623287671232877,0.7815068493150685,0.9821917808219178,0.1410958904109589,0.026027397260273973,0.1,0.1506849315068493,0.8602739726027397,0.9780821917808219,0,0.9136986301369863,0.9821917808219178,0.5506849315068493,0.22534246575342465,0.9315068493150684,0.2602739726027397,0.2650684931506849,0.897945205479452,0.9082191780821918,0.9835616438356164,0.9952054794520548,0.9643835616438357,0.03561643835616438,0.8678082191780822,0.06917808219178082,140000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0.8008076412415945,-0.29378482566857494,-0.7837251764668431,-0.4074045929571468,2.4566398184131226,1.4268232288285776,-0.35938405655380323,0.5845399095206661,-0.9503365061005771,-0.8274659089769937,1.146833687794256,0.786091749421831,0.1422724545662865,-0.6448062732463087,-0.42942759047091816,0.18333722536597255,0.48505860849892374,0.09548982147277024
4,5,0.2047945205479452,0,0,0.028082191780821917,0.863013698630137,0.9897260273972602,0.3047945205479452,0.11506849315068493,0.5623287671232877,0.7815068493150685,0.9821917808219178,0.3527397260273973,0.3452054794520548,0.44315068493150683,0.2863013698630137,0.8602739726027397,0.9780821917808219,0,0.9136986301369863,0.9821917808219178,0.14589041095890412,0.05136986301369863,0.9315068493150684,0.21438356164383562,0.5958904109589042,0.897945205479452,0.9082191780821918,0.9835616438356164,0.9952054794520548,0.9643835616438357,0.04041095890410959,0.8678082191780822,0.8205479452054795,250000,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,-0.4717198578085954,-0.29378482566857494,-0.7837251764668431,0.7087538440360939,-0.40759468814363037,-0.8736188132328284,-0.35938405655380323,0.9918946164525768,1.0796954793612952,1.3243370155702445,1.2096300587149953,1.5832572579330517,0.7505413046368722,0.2543869035374209,0.12469793819929306,0.07748514859296553,1.2955588015438828,0.8771272691711991
5,6,0.09863013698630137,0,0,0.03356164383561644,0.863013698630137,0.9897260273972602,0.10547945205479452,0.2719178082191781,0.5623287671232877,0.7815068493150685,0.9821917808219178,0.3527397260273973,0.3452054794520548,0.002054794520547945,0.2863013698630137,0.8602739726027397,0.9780821917808219,0,0.9136986301369863,0.9821917808219178,0.03424657534246575,0.18835616438356165,0.9315068493150684,0.4726027397260274,0.5958904109589042,0.897945205479452,0.9082191780821918,0.0006849315068493151,0.9952054794520548,0.003424657534246575,0.06095890410958904,0.8678082191780822,0.8205479452054795,143000,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-0.06901065611343074,-0.29378482566857494,-0.2952982009066495,0.7510586832062541,-0.40759468814363037,-0.43800546739443375,-0.35938405655380323,0.5140553171794723,0.5666249942664207,-0.8274659089769937,1.08979400673248,0.08483890262159699,0.8204952029025555,-0.5475575568462505,-1.0338645635975494,-1.3132749310823801,-0.20804301616945617,0.857080934127812
6,7,0.36712328767123287,0,0,0.0589041095890411,0.863013698630137,0.9897260273972602,0.49726027397260275,0.11506849315068493,0.5623287671232877,0.7815068493150685,0.9821917808219178,0.3527397260273973,0.3452054794520548,0.44315068493150683,0.2863013698630137,0.8602739726027397,0.9780821917808219,0,0.9136986301369863,0.9821917808219178,0.5506849315068493,0.22534246575342465,0.9315068493150684,0.2602739726027397,0.5958904109589042,0.897945205479452,0.9082191780821918,0.9835616438356164,0.9952054794520548,0.9643835616438357,0.08356164383561644,0.8678082191780822,0.8205479452054795,307000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1.1646231835601155,-0.29378482566857494,-1.2494329281029584,0.31444672363908893,-0.40759468814363037,-1.2910164259800112,-0.35938405655380323,0.81016862696378,1.1667060821812678,1.207735535393842,-0.8714543139174613,0.7607685690359999,1.2496892318011097,1.3815116768492015,1.336245090820105,-0.3415630698418029,0.4429840071712726,0.2009994240115422
7,8,0.2047945205479452,0,0,0.05,0.013013698630136987,0.9897260273972602,0.3047945205479452,0.2184931506849315,0.1726027397260274,0.7815068493150685,0.9821917808219178,0.15205479452054796,0.14178082191780822,0.43424657534246575,0.1506849315068493,0.022602739726027398,0.9780821917808219,0,0.9136986301369863,0.9821917808219178,0.5506849315068493,0.22534246575342465,0.9315068493150684,0.21438356164383562,0.5958904109589042,0.897945205479452,0.9082191780821918,0.9835616438356164,0.9952054794520548,0.0006849315068493151,0.05410958904109589,0.8678082191780822,0.8205479452054795,200000,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0.8008076412415945,-0.29378482566857494,0.500508558011076,0.08608072891753701,2.45635770968111,0.2682774782558489,2.7684359395055456,1.4135622100946135,1.1418480614796371,1.2567776502553747,1.1968086870779149,0.10264207428599587,0.9243794097927136,0.1705291139492479,0.01853548565254551,-0.6455723467675034,1.123885038168706,0.2575487093439833
8,9,0.09863013698630137,0,0,0.0773972602739726,0.03287671232876712,0.9897260273972602,0.10547945205479452,0.2184931506849315,0.5623287671232877,0.7815068493150685,0.9821917808219178,0.03424657534246575,0.026027397260273973,0.1,0.2945205479452055,0.8602739726027397,0.9780821917808219,0,0.018493150684931507,0.9821917808219178,0.2452054794520548,0.12808219178082192,0.021232876712328767,0.21438356164383562,0.2650684931506849,0.03287671232876712,0.9082191780821918,0.9835616438356164,0.9952054794520548,0.9643835616438357,0.09657534246575343,0.8678082191780822,0.06917808219178082,129900,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3446948311676443,-0.29378482566857494,1.5384033318799935,-0.8906519370079246,2.456150550380073,1.1846136047708096,-0.35938405655380323,-1.0713069393887342,0.838482730386745,-0.8274659089769937,1.1458068232192755,0.0312604716829801,-1.3531585036143856,-0.17969222855402106,-0.23389162555078566,0.9079753431373495,0.5878596317632445,-0.7607802324803395
9,10,0.02054794520547945,0,0,0.03972602739726028,0.03287671232876712,0.0013698630136986301,0.009589041095890411,0.2719178082191781,0.1726027397260274,0.7815068493150685,0.9821917808219178,0.1506849315068493,0.14657534246575343,0.1,0.2863013698630137,0.8602739726027397,0.9780821917808219,0,0.9136986301369863,0.9821917808219178,0.2452054794520548,0.18835616438356165,0.9315068493150684,0.21438356164383562,0.5958904109589042,0.009589041095890411,0.9082191780821918,0.9835616438356164,0.9952054794520548,0.9643835616438357,0.03972602739726028,0.8678082191780822,0.8205479452054795,118000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1.3446948311676443,-0.29378482566857494,1.367733137935825,-0.9472215619054285,-0.40759468814363037,1.034243494215145,-0.35938405655380323,-0.336169277026599,-0.9503365061005771,-0.8274659089769937,-0.8714543139174613,-1.228751113642681,0.9181981613926016,-0.09025843634909894,-0.06809274202531757,-0.9288390834738599,-0.8501417487482493,-0.3915756956333357
