,id,rating,text,date
0,ChIJB0aslk3afkcRm1mMmkvJQi0,4,"Locale accogliente,  come accogliente è stato il personale, presente e attento,  ma mai invasivo. Vale lo stesso per i tavoli, ben distribuiti si modo da lasciare ad ciascuno la sua privacy.
Mangiato davvero bene, ottima la piovra, squisita la salsa alla menta e zucchine, buono il vino consigliato! Non posso esprimermi sul rapporto qualità prezzo,  perché sono stata felicissima ospite di questa deliziosa cena.",2020-07-04 01:05:59
1,ChIJB0aslk3afkcRm1mMmkvJQi0,5,"Posticino intimo e molto carino, ideale per cene di un certo livello o anche solo per gustare un'ottima cucina. Un po' costoso ma per la qualità che offre è più che giusto. Mai mangiato un fritto migliore, nemmeno al sud. Cucina creativa con abbinamenti innovativi e indovinati. Se ci si vuole fare un piccolo regalo questo è il locale giusto dove andare a cena. La gentilezza e la preparazione dei cameriere ti fanno sentire davvero coccolato, un servizio impeccabile.",2019-10-06 19:19:33
2,ChIJB0aslk3afkcRm1mMmkvJQi0,4,"Ristorante piccolo,sapientemente arredato. Elegante, ma non eccessivo. È decisamente il locale che mette al primo posto la qualità del cibo. Con lavoro certosino i piatti vengo impiantati alla perfezione. Ottimo il pesce e i primi, spesso proposti con pasta fatta in casa. La carta dei  vini è ben curata. Un locale di alto livello",2020-03-29 01:50:08
3,ChIJB0aslk3afkcRm1mMmkvJQi0,3,"Locale elegante e moderno, rilassante il sottofondo musicale. Servizio cortese. Nel menù, ci sono piatti con accostamenti particolari. Piaciuti i paccheri alla carbonara di mare, meno i bigoli neri con datterini e cozze, di sapore poco incisivo. Buono il dentice con cedro candito e insalatina finocchi e agrumi, mentre la coda di rospo al pepe verde non mi è piaciuta (gusto della salsa troppo intenso). Prezzi più alti della media di Padova, rapporto Q/P non molto favorevole.",2019-06-18 18:33:53
4,ChIJB0aslk3afkcRm1mMmkvJQi0,5,un anniversario speciale grazie ai piatti meravigliosi che questo ristorante ci ha portato a casa...questo ristorante non si smentisce mai è il migliore di Padova. Io e mia moglie ne siamo dipendenti. grazie a Elena e Laura siete meravigliose,2020-05-23 13:18:30
5,ChIJQR9o0zTafkcR54V73oCfGKQ,5,"gli hamburger sono eccezionali, le pizze nella norma.
da provare",2016-04-23 09:46:51
6,ChIJQR9o0zTafkcR54V73oCfGKQ,4,Buono ma un po' rimbambiti,2016-07-15 23:06:01
7,ChIJQR9o0zTafkcR54V73oCfGKQ,3,"Good pizza to go, but nothing to die for..",2016-03-11 14:59:16
8,ChIJO2jOwsnbfkcRj2qxhIhYFFQ,5,"La pizza molto buona, secondi di carne ottimi e spesso diversi. Personale gentilissimo e disponibile. Il locale d'inverno é caldo ed accogliente e d'estate ha molti tavoli all'esterno. I vini abbastanza buoni e i dolci ottimi. Perfetto anche con i bambini e ampio parcheggio",2017-12-11 10:00:22
9,ChIJO2jOwsnbfkcRj2qxhIhYFFQ,4,"Buona la pizza ma anche le proposte della cucina (antipasti, primi e secondi) tutti invitanti e per tutti i gusti, anche con soluzioni vegetariane. Locale tranquillo con giardino estivo. Consigliato",2017-02-22 00:36:05
10,ChIJO2jOwsnbfkcRj2qxhIhYFFQ,5,Cenone di capodanno eccellente! Locale molto curato e piatti deliziosi!,2018-01-08 12:23:11
11,ChIJO2jOwsnbfkcRj2qxhIhYFFQ,4,"Non male, buona pizza, staff disponibile e accogliente.... Non male",2017-11-07 21:22:39
12,ChIJO2jOwsnbfkcRj2qxhIhYFFQ,5,Impossibile non fermarsi da Paolone dopo calciotto!!,2017-12-06 23:43:32
13,ChIJ6fqmbknafkcROH1K3hjA1HI,4,"Ambiente accogliente, host gentili e disponibili, difficile da trovare per poche indicazioni. Cercate bene perche vale la pena trovarlo.",2020-08-13 12:58:53
14,ChIJ6fqmbknafkcROH1K3hjA1HI,4,"I gestori sono fantastici, è come essere a casa loro.
Prezzi onesti ed atmosfera autentica, in special modo il giardino... Bisogna provare per capire.",2020-02-20 21:27:19
15,ChIJ6fqmbknafkcROH1K3hjA1HI,2,"Locale molto carino, in particolare cortile esterno, personale cortese. Abbiamo mangiato due gyros ed era solo mezza pita con carne sopra poco saporita e grossa, salsa e verdure praticamente inesistenti, nonostante un prezzo medio alto.",2020-07-04 14:37:07
16,ChIJ6fqmbknafkcROH1K3hjA1HI,5,"Le pietanze ti ricordano la Grecia, l'accoglienza decisamente sublime! Naturalmente cibo di qualità! Serata fantastica! Assolutamente da frequentare",2019-07-28 00:00:47
17,ChIJ6fqmbknafkcROH1K3hjA1HI,5,"La Plaka é non è solo un ottimo ristorante greco, é anche cordialità, serenità, professionalità e ognuno si sente ""a casa"" coccolato dalle insuperabili attenzioni di Anna e Kostas, meravigliose creature😍da più di 15/16 anni siamo spesso da loro... E scopriamo sempre nuove e ottime ricette greche! Davvero solo da Consigliare...",2020-02-22 13:00:50
18,ChIJKd2nU0vafkcR7TAP7ZILc6o,2,Pizza da asporto sulla quale stendere un velo pietoso. Nove euro per una pizza abbondanti funghi misti senza mozzarella sottile come un velo e con tre champignon in croce. Metto due stelle solo perché quando l ho fatto presente al titolare mi ha risposto che fuori c è il listino (cosa c entrerebbe poi?). Per carità.,2020-07-05 19:36:58
19,ChIJKd2nU0vafkcR7TAP7ZILc6o,4,"Locale spazioso e accogliente. Mangiato un antipasto, un primo e un dolce tutti e 3 buoni, particolari gli gnocchi alle castagne. Anche i miei amici che hanno preso altri primi e altri secondi è piaciuto molto. Prezzi giusti per quanto mangiato, per una cena completa si è tra i 25 e i 30€ a persona. Consigliato",2019-11-03 17:06:53
20,ChIJKd2nU0vafkcR7TAP7ZILc6o,5,"Pizza buonissima e torneremo per il ""cacio e pepe"" che ci hanno fortemente consigliato",2020-08-15 14:07:21
21,ChIJKd2nU0vafkcR7TAP7ZILc6o,4,"Piatti ben presentati e sopratutto ingredienti freschi, tagliolini ai porcini ottimi la carne della tagliata saporita e tenera. Da tornare sicuramente",2020-07-19 12:19:14
22,ChIJKd2nU0vafkcR7TAP7ZILc6o,4,"Ristorante casereccio.
Personale cortese e disponibile.
La pizza ha la pasta molto sottile per cui toglie un po' di gusto.
Il pesce è veramente buono.
Merita veramente.",2019-04-01 08:23:31
23,ChIJE-JmVa3bfkcR4z-Qp3ebmKY,3,"Ci sono stata più volte, locale piccolino ma accogliente. Essenzialmente ci si va per assaggiare le crepes, di cui hanno una grande scelta. Hanno due menu: uno per le crepes e l'altro anche per primi piatti. Molto comodo dopo una passeggiata in centro al sabato sera. Noi siamo andati senza prenotare verso le 22, e abbiamo trovato posto, eravamo in 9.",2018-03-27 07:35:47
24,ChIJE-JmVa3bfkcR4z-Qp3ebmKY,5,"Ottimo locale storico di Padova.  Il clima è sereno e tranquillo. Luogo ideale per chi vuole gustare sia il ""dolce"" che il ""salato"". Lo consiglio caldamente",2016-07-03 01:46:08
25,ChIJE-JmVa3bfkcR4z-Qp3ebmKY,5,Un locale storico della città di Padova,2020-07-14 13:53:16
26,ChIJE-JmVa3bfkcR4z-Qp3ebmKY,4,"Ho provato questa creperia grazie a un Groupon: l'ambiente, come primo impatto, è un po' triste e trascurato, e avrebbe bisogno di una ristrutturazione. In compenso il personale è molto cordiale e le crepes sono ottime! Il menù proposto col buono inoltre era davvero abbondante, ci siamo portati a casa una delle crepes dolci. Nel complesso è stata un'ottima serata!",2018-11-27 13:44:03
27,ChIJE-JmVa3bfkcR4z-Qp3ebmKY,5,"Le crepes dolci sono eccezzionali. La location è piccola ma confortevole, adatto per uscite informali",2017-11-15 22:33:53
28,ChIJO0lkL0vafkcRq7qHQlAoPXk,5,I Barman sono degli uomini che hanno l'orgoglio della professione. Si mangiano cose buone. Ingredienti impeccabili. La Elena serve ai tavoli con grazia e gentilezza. A Padova conoscono tutti il Bar Primevera. Se vieni a Padova passa dal Bar Primavera per uno spuntino.,2020-08-03 00:30:43
29,ChIJO0lkL0vafkcRq7qHQlAoPXk,4,"Nel cuore di Padova vi imbatterete in questo stupendo, ogni dopo cinema per me è un must.",2020-06-24 13:43:12
30,ChIJO0lkL0vafkcRq7qHQlAoPXk,5,Simpatici accoglienti gentili ....posto gradevole spazioso ....,2020-08-23 08:56:15
31,ChIJO0lkL0vafkcRq7qHQlAoPXk,5,Panini e birra numero uno. Personale fantastico,2020-07-14 12:30:05
32,ChIJO0lkL0vafkcRq7qHQlAoPXk,5,Sempre trovato magnificamente!,2020-07-06 10:18:48
33,ChIJB87WE0zafkcRCTV01H6iEXM,5,"Ho cenato lì la settimana scorsa ed è stato molto piacevole, sia per la location (amo la zona attorno alla Specola), sia per la proposta culinaria, valida anche per una vegetariana come me. In particolare consiglio la panzanella, ottima in estate! Personale cortese e disponibile. Unico neo il transito delle auto così vicine ai tavoli situati sotto il portico ma il giudizio rimane più che positivo.",2020-07-29 12:58:16
34,ChIJB87WE0zafkcRCTV01H6iEXM,3,"Mangiato bene in 4, cibo tranquillo, molto buone le zucchine ripiene. Cortesia nel servizio e prezzo corretto. Locale piacevole in una bella riviera di Padova, vicino la Specola, rinnovato da poco. Menù ancora un po' limitato a mio avviso, ma è normale vista la situazione generale della ristorazione. Consigliato.",2020-07-24 10:09:16
35,ChIJB87WE0zafkcRCTV01H6iEXM,5,"Una piacevolissima scoperta, locale caldo ed accogliente, come i proprietari. Ottimi piatti, molto curati nella presentazione e saporiti nel gusto. Veramente positivo!",2020-07-26 11:11:50
36,ChIJB87WE0zafkcRCTV01H6iEXM,4,"Buona cucina e anche la pizza, personale gentile e disponibile, molto raccomandabile",2020-08-25 23:31:19
37,ChIJB87WE0zafkcRCTV01H6iEXM,5,"Si mangia molto bene, servizio veramente eccellente",2020-08-25 21:08:15
38,ChIJZzWpU0jafkcRDGoNGchVqKM,5,"Pollo ai ferri eccezionale numero uno, gastronomia comunque con prodotti veramente buoni e purtroppo ahimè' i prezzi di conseguenza.",2020-05-14 20:18:04
39,ChIJZzWpU0jafkcRDGoNGchVqKM,4,"Storica rosticceria in Padova, da non perdere il galletto ""ai ferri"", non ho ancora scoperto il segreto, ma è veramente un passo avanti nel sapore rispetto alla concorrenza",2020-04-11 20:47:37
40,ChIJZzWpU0jafkcRDGoNGchVqKM,5,La più storica rosticceria di Padova. Andate sul sicuro e farete sempre una bella figura!,2020-03-07 14:43:13
41,ChIJZzWpU0jafkcRDGoNGchVqKM,5,Un banco frigo pieno di ogni ben di Dio.Primi e secondi e dessert ottimi.Un baccalà alla vicentina squisito.Tutto buono e saporito.Veramente ottima gastronomia.,2020-02-09 11:42:22
42,ChIJZzWpU0jafkcRDGoNGchVqKM,2,È una rosticceria rinomata nel centro di Padova. A me non fa impazzire. Troppo glutammato o utilozzo eccessivo di qualche  conservante per i cibi. Lo trovo anche troppo caro,2019-08-16 16:11:29
43,ChIJS6VOIcjbfkcRaweJwl6H4sc,5,"Utilizzo il centro per lo studio di personal trainer dove Diego, Marco e Massimo con simpatia e soprattutto professionalità riescono a rendere l'attività fisica un piacere..
Consigliatissimo",2019-05-31 12:22:52
44,ChIJS6VOIcjbfkcRaweJwl6H4sc,4,"Struttura storica di Padova. Manti rifatti da poco, in ottime condizioni.  Coperti e riscaldati in inverno.  Non do la quinta stella per gli spogliatoi, perché non è possibile non avere neanche un phon a disposizione.",2020-01-27 22:29:07
45,ChIJS6VOIcjbfkcRaweJwl6H4sc,4,Posto ok ma troppo expensive,2020-07-05 12:15:43
46,ChIJS6VOIcjbfkcRaweJwl6H4sc,3,"Piscina lettini e luogo di ristoro, non eccessivamente grande e quindi non dispersivo. Luogo piacevole. Da migliorare un poco il servizio, servirebbero più personale quando si fanno eventi e una cucina più veloce. ",2017-07-16 16:22:59
47,ChIJS6VOIcjbfkcRaweJwl6H4sc,5,"Ieri sera ho suonato per una festa privata in questa bellissima location: proprietari gentili e accoglienti, personale simpatico e preparato. Non vedo l'ora di tornarci anche da cliente!
Grazie di tutto! Alla prossima ragazzi!",2019-12-14 12:26:08
48,ChIJXfkbLcvbfkcRc2C7g29Hfig,5,"Iniziando dal clima accogliente e familiare, il proprietario è una persona d'oro. Riesce a spendere un po' di tempo con tutti i clienti per consigliarli e raccontare loro un po' di storia sui piatti che scelgono.
Il cibo è squisito, sia i vari tipi di carne che le verdure. Ascoltate le raccomandazioni che vi farà il gestore!
Infine il prezzo, molto più basso di quanto mi aspettassi, vista la qualità e la quantità di cibo.
Per finire il gestore vi offrirà un te squisito.
Assolutamente ci tornerò il prima possibile!",2020-07-11 17:03:35
49,ChIJXfkbLcvbfkcRc2C7g29Hfig,5,"Non è la prima volta che ceno in questo locale. L'accoglienza è sempre speciale: i proprietari hanno passione e desiderano condividere per quanto possibile la loro cultura e la loro cucina. Non è un freddo ristornante ma una sala da pranzo di una casa di un altro paese.
Le portate principali sono di spezzatino di carne di diversa specie: dalla pecora allo struzzo all'antilope. Non mancano i contorni e pietanze per clienti vegetariani. Le pietanze sono piccanti ma non troppo.Alla fine un ottimo tè digestivo. Io consiglio di andarci in compagnia per assaporare un po' di tutto. E necessario prenotare. Si spende circa sui 25 euro a testa mangiando abbondantemente. Alla prossima!",2020-01-29 15:10:08
50,ChIJXfkbLcvbfkcRc2C7g29Hfig,5,"Sicuramente un'esperienza diversa dal solito. Il ristorante è casereccio ma accogliente ed il proprietario sa perfettamente come metterti a tuo agio, spiegando il menù particolare e come vanno consumati i piatti.
Le carni servite erano davvero ottime, accompagnate da contorni ed una crema di ceci fantastica.
Il the alle erbe, poi, ha funzionato benissimo come digestivo, oltre che essere davvero buono 👍",2020-02-09 10:39:44
51,ChIJXfkbLcvbfkcRc2C7g29Hfig,5,"Strepitoso ristorante caratteristico. Abbiamo mangiato molto e bene. In sei persone abbiamo ordinato nove portate che abbiamo condiviso, più vino, acqua e birre e abbiamo speso 25 euro! Consigliatissimi i piatti vegetariani ed in particolare i ceci e la zucca. 
Servizio veloce e cortese, con  una menzione d'onore per il titolare che è un personaggio fantastico.",2020-03-04 00:36:10
52,ChIJXfkbLcvbfkcRc2C7g29Hfig,5,Il titolare e il personale sono di una gentilezza squisita!!!! Piatti ottimi e il locale nella sua semplicità è caratteristico. Infuso a fine cena é  un digestivo perfetto!!! Da provare e ritornare 😉😎,2019-07-27 22:50:00
53,ChIJn89GPbTbfkcRX_yiTuVxpBw,5,Stasera sono andata per la prima volta a prendere la pizza in questa pizzeria. È molto buona ed il personale è molto simpatico. Mi sono trovata bene! Ci tornerò un'altra volta!,2020-07-18 21:07:53
54,ChIJn89GPbTbfkcRX_yiTuVxpBw,5,"Sono andato l'altro giorno, servizio veloce, staff educato e gentile. La pizza era buona e aveva un ottimo rapporto qualità prezzo",2020-02-05 22:30:12
55,ChIJn89GPbTbfkcRX_yiTuVxpBw,5,"Consigliata da amici, ho scelto Speedy Pizza per ordinare più di 30 pizze per il mio compleanno, sono stati veloci e le pizze erano veramente buone. Io ho preso la boscaiola con l’impasto integrale e oltre alla cottura giusta devo dire che l’ho anche digerita in fretta... sicuramente ordinerò di nuovo.",2019-09-27 01:36:24
56,ChIJn89GPbTbfkcRX_yiTuVxpBw,5,"Ci andiamo da anni, le pizze sono sempre buone e il personale è molto gentile, davvero consigliato :)",2020-02-10 16:48:22
57,ChIJn89GPbTbfkcRX_yiTuVxpBw,5,"Pizza molto buona, personale cordiale e spedizione nei tempi stabiliti.
Il menu offre una vasta scelta e delle pizze veramente originali, ottimo per quando non si sa cosa scegliere o se si è stanchi delle solite offerte.

Consigliato.",2019-08-27 16:22:47
58,ChIJqS3RBjHafkcRzYpx_Bu4dOc,4,"Un bel locale, personale veloce e cortese. Mi sono trovata bene anche a mangiare.",2018-03-20 13:41:57
59,ChIJqS3RBjHafkcRzYpx_Bu4dOc,4,Informale. Originale. Non si va per il cibo o per il bere. Qualsiasi tipo di spettacolo... anche Drag Queen.  Accettano i cani!!!,2017-11-12 12:05:46
60,ChIJqS3RBjHafkcRzYpx_Bu4dOc,5,"Il migliore locale per concerti live, adesso si mangia anche bene, ottima pizza e nuovo menù.",2017-10-15 17:00:49
61,ChIJqS3RBjHafkcRzYpx_Bu4dOc,4,"Più: Ottima musica live, dal rock al soul, dal jazz al pop, fino addirittura al latino. Parcheggio esterno. Comodo in centro a Padova. Personale gentile e clientela simpatica. Birra buona. Locale ben tenuto con luci d'effetto e arredamento, divanetti, ordine e pulizia. Menu a prezzo accettabile. Sito facebook abbastanza aggiornato per sapere gli eventi.
Meno: Volume live un po' troppo alto. Bagni puliti ma vecchi (tavoletta rotta). Dai divanetti non si vede tutto il palco. A volte mettono l'ingresso a pagamento.",2018-06-14 09:44:02
62,ChIJqS3RBjHafkcRzYpx_Bu4dOc,3,"Ottimo posto per sentire la musica.
",2017-07-25 20:09:30
63,ChIJ83GHWjXafkcR_oCESYYX0N0,5,Pizza con l'impasto nera super... all'inizio sembra di entrare in un call center ma poi tutto è gestito alla perfezione.. servizio e pizza superbi,2020-08-15 19:23:23
64,ChIJ83GHWjXafkcR_oCESYYX0N0,5,Molto veloci e con consegna a domicilio. Gusti molto PARTICOLARI ho apprezzato la base pizza nera...... Fantasticaaaaa,2020-07-22 14:13:20
65,ChIJ83GHWjXafkcR_oCESYYX0N0,3,"Puzza discreta, abbastanza grande e abbondante, però la pasta è un po' bagnata, comunque non fa sete, offrono anche il servizio di consegna a casa",2020-07-27 09:14:33
66,ChIJ83GHWjXafkcR_oCESYYX0N0,5,"Ottima pizza. Ho ordinato stasera per una consegna a domicilio in centro! Il pomodoro e la pasta erano veramente buoni e anche gli ingredienti, e poi cottura perfetta! In più era caldissima! Mi sa diventerà la nostra pizzeria di fiducia! Grazie!!!",2019-12-07 23:23:54
67,ChIJ83GHWjXafkcR_oCESYYX0N0,5,"La Pizzeria si contraddistingue dalle altre grazie alla qualità dei prodotti, digeribilità della pasta e farcitura veramente generosa. La migliore pizzeria per asporto in città!",2020-04-12 21:34:31
68,ChIJiWrczLTbfkcR31b_pOfAZ2A,5,"Prendo spesso la pizza qui ed è buona, buona, buona!! Le persone con cui ho avuto a che fare, sia telefonicamente che di persona, sono sempre state tanto gentili. Bravi! 👏🏻👏🏻👏🏻",2019-11-21 21:23:32
69,ChIJiWrczLTbfkcR31b_pOfAZ2A,5,"Beh... la pizza è fantastica, ben condita e digeribilissima. Me la faccio portare a casa una volta a settimana e sono molto puntuali.",2019-12-04 11:53:04
70,ChIJiWrczLTbfkcR31b_pOfAZ2A,5,"Eccezionale!
Leggera e digeribile, ricca, con prodotti di qualità e prezzi sotto la media!
Gestore cordiale e capace!",2017-07-21 07:13:18
71,ChIJiWrczLTbfkcR31b_pOfAZ2A,5,Pizza buonissima con farciture di qualità e servizio consegna efficiente!,2020-05-16 12:38:11
72,ChIJiWrczLTbfkcR31b_pOfAZ2A,5,"Ottima pizzeria da asporto, Pizze superlative e soprattutto velocità di servizio. Top!",2020-04-01 17:45:26
73,ChIJQR9o0zTafkcRA76TSnrQuiw,5,Buon cibo a prezzi ragionevoli e fino a notte inoltrata.,2020-08-25 22:11:12
74,ChIJQR9o0zTafkcRA76TSnrQuiw,1,"Ho aggiunto all’ordine già fatto una bibita e hanno avuto il coraggio di metterla in conto ma non consegnarmela, grazie fast dopo le centinaia di euro che ti ho dato 👌",2020-08-24 12:14:42
75,ChIJQR9o0zTafkcRA76TSnrQuiw,1,Rapporto qualita' prezzo pessimo. Consegna puntuale ma carne di bassa qualita'nonostante il prezzo. Le verdure dentro devi cercarle con la lente d'ingrandimento.,2020-07-06 03:24:42
76,ChIJQR9o0zTafkcRA76TSnrQuiw,5,Ottimo rapporto qualità/prezzo. Ottimo per asporto e take away ma anche per mangiare la anche se ci sono pochi coperti. Hamburger di qualità ed anche pizze ottime! Servizio gentile e professionale.,2019-05-23 09:24:49
